feature,feature,type,p_value,relevant
data__fourier_entropy__bins_10,data__fourier_entropy__bins_10,real,1.4940387369122295e-68,True
data__fourier_entropy__bins_100,data__fourier_entropy__bins_100,real,3.065528420586677e-68,True
data__fourier_entropy__bins_5,data__fourier_entropy__bins_5,real,3.7621853700631845e-68,True
data__ratio_beyond_r_sigma__r_10,data__ratio_beyond_r_sigma__r_10,real,4.3983090275750584e-68,True
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",real,4.87328212673515e-68,True
data__kurtosis,data__kurtosis,real,4.87328212673515e-68,True
data__partial_autocorrelation__lag_1,data__partial_autocorrelation__lag_1,real,4.87328212673515e-68,True
data__cid_ce__normalize_True,data__cid_ce__normalize_True,real,4.87328212673515e-68,True
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",real,4.87328212673515e-68,True
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40","data__agg_autocorrelation__f_agg_""mean""__maxlag_40",real,4.87328212673515e-68,True
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""","data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",real,4.87328212673515e-68,True
data__autocorrelation__lag_9,data__autocorrelation__lag_9,real,4.87328212673515e-68,True
data__autocorrelation__lag_8,data__autocorrelation__lag_8,real,4.87328212673515e-68,True
data__autocorrelation__lag_6,data__autocorrelation__lag_6,real,4.87328212673515e-68,True
data__autocorrelation__lag_5,data__autocorrelation__lag_5,real,4.87328212673515e-68,True
data__autocorrelation__lag_4,data__autocorrelation__lag_4,real,4.87328212673515e-68,True
data__autocorrelation__lag_3,data__autocorrelation__lag_3,real,4.87328212673515e-68,True
data__autocorrelation__lag_2,data__autocorrelation__lag_2,real,4.87328212673515e-68,True
data__autocorrelation__lag_1,data__autocorrelation__lag_1,real,4.87328212673515e-68,True
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""","data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",real,4.87328212673515e-68,True
"data__agg_autocorrelation__f_agg_""median""__maxlag_40","data__agg_autocorrelation__f_agg_""median""__maxlag_40",real,4.87328212673515e-68,True
data__autocorrelation__lag_7,data__autocorrelation__lag_7,real,4.87328212673515e-68,True
data__maximum,data__maximum,real,1.3418179987816751e-67,True
data__absolute_maximum,data__absolute_maximum,real,1.7344185031428303e-67,True
data__minimum,data__minimum,real,1.834526528783295e-67,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",real,1.8458193902289443e-67,True
data__cid_ce__normalize_False,data__cid_ce__normalize_False,real,1.8458193902289443e-67,True
"data__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""","data__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8","data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8","data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",real,1.8458193902289443e-67,True
"data__fft_aggregated__aggtype_""variance""","data__fft_aggregated__aggtype_""variance""",real,1.8458193902289443e-67,True
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",real,1.8458193902289443e-67,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","data__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",real,1.8458193902289443e-67,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",real,1.8679972287564277e-67,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,1.8679972287564277e-67,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",real,1.8679972287564277e-67,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",real,1.8904406511322986e-67,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",real,1.8904406511322986e-67,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""","data__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",real,2.1049183816732503e-67,True
data__fourier_entropy__bins_3,data__fourier_entropy__bins_3,real,2.2775043468998302e-67,True
"data__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","data__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",real,3.1205097344086494e-67,True
data__ratio_beyond_r_sigma__r_0.5,data__ratio_beyond_r_sigma__r_0.5,real,3.122144264978656e-67,True
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",real,3.1958137384658605e-67,True
data__energy_ratio_by_chunks__num_segments_10__segment_focus_2,data__energy_ratio_by_chunks__num_segments_10__segment_focus_2,real,3.4747553760923756e-67,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",real,4.791896118102283e-67,True
data__absolute_sum_of_changes,data__absolute_sum_of_changes,real,4.791896118102283e-67,True
data__mean_abs_change,data__mean_abs_change,real,4.791896118102283e-67,True
"data__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","data__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",real,5.333798540338921e-67,True
data__mean_n_absolute_max__number_of_maxima_7,data__mean_n_absolute_max__number_of_maxima_7,real,6.367722259408764e-67,True
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",real,7.181213706694711e-67,True
data__energy_ratio_by_chunks__num_segments_10__segment_focus_3,data__energy_ratio_by_chunks__num_segments_10__segment_focus_3,real,9.072110419634567e-67,True
"data__fft_aggregated__aggtype_""kurtosis""","data__fft_aggregated__aggtype_""kurtosis""",real,9.327267502145147e-67,True
"data__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","data__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",real,1.0756050466170035e-66,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","data__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",real,1.0884530661179318e-66,True
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",real,1.1550240599693935e-66,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",real,1.2111904101371224e-66,True
"data__fft_coefficient__attr_""abs""__coeff_37","data__fft_coefficient__attr_""abs""__coeff_37",real,1.3884187173422727e-66,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",real,1.499575575235996e-66,True
data__partial_autocorrelation__lag_2,data__partial_autocorrelation__lag_2,real,1.553893550385423e-66,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",real,1.6101722469119124e-66,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",real,1.728896449773661e-66,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",real,1.7495151615898463e-66,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",real,2.016910181777009e-66,True
"data__fft_coefficient__attr_""real""__coeff_42","data__fft_coefficient__attr_""real""__coeff_42",real,2.0257144466190867e-66,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""","data__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",real,2.744216915423229e-66,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","data__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",real,3.0167478021441557e-66,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",real,3.0167478021441557e-66,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",real,3.0526580554686386e-66,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","data__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",real,4.007029049799061e-66,True
"data__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","data__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",real,4.841125041433569e-66,True
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",real,5.848142744064436e-66,True
"data__fft_coefficient__attr_""abs""__coeff_26","data__fft_coefficient__attr_""abs""__coeff_26",real,1.0394521654838046e-65,True
data__ar_coefficient__coeff_1__k_10,data__ar_coefficient__coeff_1__k_10,real,1.0424087810374958e-65,True
data__ratio_beyond_r_sigma__r_1,data__ratio_beyond_r_sigma__r_1,real,1.15462851475718e-65,True
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,real,1.2688169836618537e-65,True
"data__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","data__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",real,1.6499851617334567e-65,True
data__index_mass_quantile__q_0.3,data__index_mass_quantile__q_0.3,real,1.697653583718483e-65,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""","data__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",real,1.9226129002868123e-65,True
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",real,2.347935325136659e-65,True
data__ar_coefficient__coeff_5__k_10,data__ar_coefficient__coeff_5__k_10,real,2.4735423129700617e-65,True
data__index_mass_quantile__q_0.6,data__index_mass_quantile__q_0.6,real,3.09356283798334e-65,True
data__value_count__value_-1,data__value_count__value_-1,real,3.506116666009207e-65,True
data__number_crossing_m__m_-1,data__number_crossing_m__m_-1,real,3.506116666009207e-65,True
"data__fft_coefficient__attr_""abs""__coeff_25","data__fft_coefficient__attr_""abs""__coeff_25",real,3.5957885083009885e-65,True
data__index_mass_quantile__q_0.4,data__index_mass_quantile__q_0.4,real,4.942985491018218e-65,True
"data__agg_autocorrelation__f_agg_""var""__maxlag_40","data__agg_autocorrelation__f_agg_""var""__maxlag_40",real,6.144890308618987e-65,True
data__index_mass_quantile__q_0.7,data__index_mass_quantile__q_0.7,real,1.2540015870658424e-64,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","data__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",real,5.022209735021535e-64,True
"data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""","data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",real,1.7790335549645766e-63,True
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""","data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",real,2.2684672554925645e-63,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","data__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",real,2.6364951442139276e-63,True
data__index_mass_quantile__q_0.2,data__index_mass_quantile__q_0.2,real,3.612016048919685e-63,True
"data__fft_coefficient__attr_""abs""__coeff_24","data__fft_coefficient__attr_""abs""__coeff_24",real,4.113555052456631e-63,True
data__index_mass_quantile__q_0.8,data__index_mass_quantile__q_0.8,real,4.8336967984289564e-63,True
data__root_mean_square,data__root_mean_square,real,1.7651175891042121e-62,True
data__standard_deviation,data__standard_deviation,real,1.7651175891042121e-62,True
data__abs_energy,data__abs_energy,real,1.7651175891042121e-62,True
data__variance,data__variance,real,1.7651175891042121e-62,True
"data__linear_trend__attr_""stderr""","data__linear_trend__attr_""stderr""",real,1.7651175891042121e-62,True
"data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",real,4.7855834327090605e-62,True
"data__fft_coefficient__attr_""abs""__coeff_36","data__fft_coefficient__attr_""abs""__coeff_36",real,1.2102290170276354e-61,True
"data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",real,1.2928696471079446e-61,True
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",real,1.8830827290572012e-61,True
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,real,4.0682950591281704e-61,True
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""","data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",real,4.570927347729946e-61,True
"data__fft_coefficient__attr_""abs""__coeff_38","data__fft_coefficient__attr_""abs""__coeff_38",real,1.0381549033972918e-60,True
"data__fft_coefficient__attr_""abs""__coeff_23","data__fft_coefficient__attr_""abs""__coeff_23",real,1.592453083275239e-60,True
"data__fft_aggregated__aggtype_""centroid""","data__fft_aggregated__aggtype_""centroid""",real,1.8021783031883293e-60,True
data__energy_ratio_by_chunks__num_segments_10__segment_focus_9,data__energy_ratio_by_chunks__num_segments_10__segment_focus_9,real,3.7445822653905876e-60,True
data__percentage_of_reoccurring_values_to_all_values,data__percentage_of_reoccurring_values_to_all_values,real,5.615346989773503e-60,True
"data__fft_aggregated__aggtype_""skew""","data__fft_aggregated__aggtype_""skew""",real,1.3035866526901118e-59,True
"data__fft_coefficient__attr_""imag""__coeff_25","data__fft_coefficient__attr_""imag""__coeff_25",real,2.2864414430062463e-59,True
data__ratio_beyond_r_sigma__r_1.5,data__ratio_beyond_r_sigma__r_1.5,real,4.922619286611213e-59,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","data__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",real,7.70495779277327e-59,True
"data__fft_coefficient__attr_""imag""__coeff_38","data__fft_coefficient__attr_""imag""__coeff_38",real,3.9426512089231734e-58,True
data__ratio_beyond_r_sigma__r_2,data__ratio_beyond_r_sigma__r_2,real,4.325182602357047e-58,True
data__ratio_beyond_r_sigma__r_3,data__ratio_beyond_r_sigma__r_3,real,5.151698172584897e-58,True
data__ratio_beyond_r_sigma__r_2.5,data__ratio_beyond_r_sigma__r_2.5,real,9.442168850325901e-58,True
"data__fft_coefficient__attr_""abs""__coeff_22","data__fft_coefficient__attr_""abs""__coeff_22",real,1.3958105021187804e-57,True
data__partial_autocorrelation__lag_3,data__partial_autocorrelation__lag_3,real,3.138407074894652e-57,True
data__ar_coefficient__coeff_7__k_10,data__ar_coefficient__coeff_7__k_10,real,6.886856696099566e-57,True
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,real,1.1241121951343125e-56,True
data__ar_coefficient__coeff_6__k_10,data__ar_coefficient__coeff_6__k_10,real,1.2130351423053427e-56,True
data__spkt_welch_density__coeff_8,data__spkt_welch_density__coeff_8,real,6.166029612771608e-56,True
data__energy_ratio_by_chunks__num_segments_10__segment_focus_8,data__energy_ratio_by_chunks__num_segments_10__segment_focus_8,real,1.651884664916479e-55,True
data__ar_coefficient__coeff_2__k_10,data__ar_coefficient__coeff_2__k_10,real,5.409365969154892e-55,True
data__partial_autocorrelation__lag_5,data__partial_autocorrelation__lag_5,real,9.768009169154065e-55,True
"data__fft_coefficient__attr_""abs""__coeff_21","data__fft_coefficient__attr_""abs""__coeff_21",real,9.861265378370775e-55,True
"data__fft_coefficient__attr_""angle""__coeff_46","data__fft_coefficient__attr_""angle""__coeff_46",real,9.967193742694532e-55,True
"data__fft_coefficient__attr_""imag""__coeff_53","data__fft_coefficient__attr_""imag""__coeff_53",real,1.0741106617542932e-54,True
data__number_cwt_peaks__n_5,data__number_cwt_peaks__n_5,real,1.2684130362166629e-54,True
data__number_peaks__n_50,data__number_peaks__n_50,real,3.7280372678294e-54,True
data__ar_coefficient__coeff_8__k_10,data__ar_coefficient__coeff_8__k_10,real,4.199087695938195e-54,True
"data__fft_coefficient__attr_""abs""__coeff_5","data__fft_coefficient__attr_""abs""__coeff_5",real,8.017925289998329e-54,True
data__index_mass_quantile__q_0.1,data__index_mass_quantile__q_0.1,real,1.1391843989464785e-53,True
"data__fft_coefficient__attr_""abs""__coeff_20","data__fft_coefficient__attr_""abs""__coeff_20",real,1.4051289553422112e-53,True
"data__fft_coefficient__attr_""abs""__coeff_4","data__fft_coefficient__attr_""abs""__coeff_4",real,2.8648237607779647e-53,True
"data__fft_coefficient__attr_""abs""__coeff_35","data__fft_coefficient__attr_""abs""__coeff_35",real,2.972292776486566e-53,True
"data__fft_coefficient__attr_""abs""__coeff_6","data__fft_coefficient__attr_""abs""__coeff_6",real,4.192153477070304e-53,True
"data__fft_coefficient__attr_""imag""__coeff_45","data__fft_coefficient__attr_""imag""__coeff_45",real,6.142243696516639e-53,True
"data__fft_coefficient__attr_""imag""__coeff_39","data__fft_coefficient__attr_""imag""__coeff_39",real,9.152185882024442e-53,True
"data__fft_coefficient__attr_""real""__coeff_35","data__fft_coefficient__attr_""real""__coeff_35",real,1.0598907703661713e-52,True
data__index_mass_quantile__q_0.9,data__index_mass_quantile__q_0.9,real,1.3155519392821257e-52,True
"data__fft_coefficient__attr_""abs""__coeff_3","data__fft_coefficient__attr_""abs""__coeff_3",real,1.3507432498603809e-52,True
"data__fft_coefficient__attr_""real""__coeff_57","data__fft_coefficient__attr_""real""__coeff_57",real,1.884824135527074e-52,True
"data__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","data__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",real,3.473232600661664e-52,True
